critical_ratio,resonance_ratio,second_moment,thermal_speed_sq,slope_ratio
0.05,0.05,0.165934415448286,0.11062294363219066,738.9497840928295
0.05,0.10625,0.165934415448286,0.11062294363219066,60.57302449707689
0.05,0.16249999999999998,0.165934415448286,0.11062294363219066,9.553678457537163
0.05,0.21875,0.165934415448286,0.11062294363219066,2.7134342247039775
0.05,0.27499999999999997,0.165934415448286,0.11062294363219066,1.1239261535215748
0.05,0.33125,0.165934415448286,0.11062294363219066,0.6063510241971634
0.05,0.38749999999999996,0.165934415448286,0.11062294363219066,0.39993177656734885
0.05,0.4437499999999999,0.165934415448286,0.11062294363219066,0.3103426009397075
0.05,0.49999999999999994,0.165934415448286,0.11062294363219066,0.27635461181314946
0.05,0.55625,0.165934415448286,0.11062294363219066,0.2776244851642451
0.05,0.6125,0.165934415448286,0.11062294363219066,0.31083708231870427
0.05,0.66875,0.165934415448286,0.11062294363219066,0.3844098411077803
0.05,0.725,0.165934415448286,0.11062294363219066,0.5215378744104486
0.05,0.78125,0.165934415448286,0.11062294363219066,0.7721662996992614
0.05,0.8374999999999999,0.165934415448286,0.11062294363219066,1.2423708747247184
0.05,0.8937499999999999,0.165934415448286,0.11062294363219066,2.1649250923989207
0.05,0.95,0.165934415448286,0.11062294363219066,4.074639673301981
0.10625,0.05,0.21742644465818053,0.1449509631054537,68.75976816142744
0.10625,0.10625,0.21742644465818053,0.1449509631054537,47.323039619812306
0.10625,0.16249999999999998,0.21742644465818053,0.1449509631054537,15.335700369563906
0.10625,0.21875,0.21742644465818053,0.1449509631054537,5.300956150057258
0.10625,0.27499999999999997,0.21742644465818053,0.1449509631054537,2.2707494187080135
0.10625,0.33125,0.21742644465818053,0.1449509631054537,1.187764078010515
0.10625,0.38749999999999996,0.21742644465818053,0.1449509631054537,0.7341113718666441
0.10625,0.4437499999999999,0.21742644465818053,0.1449509631054537,0.5216791331813441
0.10625,0.49999999999999994,0.21742644465818053,0.1449509631054537,0.41768176325187983
0.10625,0.55625,0.21742644465818053,0.1449509631054537,0.3712114942426493
0.10625,0.6125,0.21742644465818053,0.1449509631054537,0.3621799758991927
0.10625,0.66875,0.21742644465818053,0.1449509631054537,0.38469359596575287
0.10625,0.725,0.21742644465818053,0.1449509631054537,0.4419610943867342
0.10625,0.78125,0.21742644465818053,0.1449509631054537,0.5464176132510272
0.10625,0.8374999999999999,0.21742644465818053,0.1449509631054537,0.724059817661591
0.10625,0.8937499999999999,0.21742644465818053,0.1449509631054537,1.0249559090121627
0.10625,0.95,0.21742644465818053,0.1449509631054537,1.5457687049066648
0.16249999999999998,0.05,0.259749691517415,0.17316646101161,11.863967947288279
0.16249999999999998,0.10625,0.259749691517415,0.17316646101161,17.158223564752845
0.16249999999999998,0.16249999999999998,0.259749691517415,0.17316646101161,11.72061103478087
0.16249999999999998,0.21875,0.259749691517415,0.17316646101161,6.0384020595120385
0.16249999999999998,0.27499999999999997,0.259749691517415,0.17316646101161,3.0840407279652378
0.16249999999999998,0.33125,0.259749691517415,0.17316646101161,1.72398536605471
0.16249999999999998,0.38749999999999996,0.259749691517415,0.17316646101161,1.0776420302999958
0.16249999999999998,0.4437499999999999,0.259749691517415,0.17316646101161,0.7508829121132927
0.16249999999999998,0.49999999999999994,0.259749691517415,0.17316646101161,0.5779289703947645
0.16249999999999998,0.55625,0.259749691517415,0.17316646101161,0.48675378914733614
0.16249999999999998,0.6125,0.259749691517415,0.17316646101161,0.44496607101115965
0.16249999999999998,0.66875,0.259749691517415,0.17316646101161,0.4385156626124402
0.16249999999999998,0.725,0.259749691517415,0.17316646101161,0.463320639466537
0.16249999999999998,0.78125,0.259749691517415,0.17316646101161,0.5224644613692137
0.16249999999999998,0.8374999999999999,0.259749691517415,0.17316646101161,0.6264752670625953
0.16249999999999998,0.8937499999999999,0.259749691517415,0.17316646101161,0.7963364876162615
0.16249999999999998,0.95,0.259749691517415,0.17316646101161,1.070361417521612
0.21875,0.05,0.29710441985035135,0.19806961323356756,3.4381004022989248
0.21875,0.10625,0.29710441985035135,0.19806961323356756,6.295500087825455
0.21875,0.16249999999999998,0.29710441985035135,0.19806961323356756,6.494292949192597
0.21875,0.21875,0.29710441985035135,0.19806961323356756,4.841579287513985
0.21875,0.27499999999999997,0.29710441985035135,0.19806961323356756,3.1399067687182636
0.21875,0.33125,0.29710441985035135,0.19806961323356756,2.0037920674753975
0.21875,0.38749999999999996,0.29710441985035135,0.19806961323356756,1.3367677203836743
0.21875,0.4437499999999999,0.29710441985035135,0.19806961323356756,0.9542458207284465
0.21875,0.49999999999999994,0.29710441985035135,0.19806961323356756,0.7333727850298346
0.21875,0.55625,0.29710441985035135,0.19806961323356756,0.6062705681111353
0.21875,0.6125,0.29710441985035135,0.19806961323356756,0.5373087399538612
0.21875,0.66875,0.29710441985035135,0.19806961323356756,0.5084784369032502
0.21875,0.725,0.29710441985035135,0.19806961323356756,0.5118510260111737
0.21875,0.78125,0.29710441985035135,0.19806961323356756,0.5461773878795368
0.21875,0.8374999999999999,0.29710441985035135,0.19806961323356756,0.6159269413360948
0.21875,0.8937499999999999,0.29710441985035135,0.19806961323356756,0.7321439607228305
0.21875,0.95,0.29710441985035135,0.19806961323356756,0.9152962226879937
