protocol,scenario,architecture,needs_p10,needs_median,needs_p90,ecology_p10,ecology_median,ecology_p90,rights_p10,rights_median,rights_p90,democracy_p10,democracy_median,democracy_p90,recovery_p10,recovery_median,recovery_p90,administrative_burden_p10,administrative_burden_median,administrative_burden_p90,capture_p10,capture_median,capture_p90,coercive_concentration_p10,coercive_concentration_median,coercive_concentration_p90,joint_pass_rate,catastrophic_rate
base,water_coordination,cct_v08,90.05641353824447,94.86599081443704,99.36640726926532,89.12196748693712,93.8131268079551,97.76076283326627,89.3796963471502,93.74309067305731,97.74137442283853,88.38127858209415,93.17132224598512,97.30260684727016,86.35136035162758,90.18772894654504,93.85429468839973,14.207108187374319,21.457632760038067,30.069778503959068,1.5239913958482045,5.77933986402031,10.48769849192184,0.532918804364748,4.314993884744888,8.489415144590762,1.0,0.0
base,water_coordination,cct_v01,66.48605410905951,72.5812781269448,78.27643712214557,85.19677749473513,90.18350597417026,94.1714664953064,83.32723641543625,88.01115132009288,92.24186308901157,84.85381155867704,89.32396043318131,93.34840037318548,72.61151892367693,76.9145157407919,81.23430049284752,48.22574795001042,58.09558211050915,67.03200291321669,3.902922711354953,8.626726968660577,14.117444876552698,0.585016343839073,3.945690234043714,7.844349279051609,0.9395,0.0
base,water_coordination,central_state,88.26603166356132,93.10393393222768,97.5503897178729,80.3972719640767,86.4679183080456,91.85031921752345,68.92601317516596,75.30157796319317,81.32789782464867,66.67379838883714,73.0257817823044,79.45002014133168,78.88658063000234,83.04088899532118,87.2727014278973,15.809283940008626,23.770906052480978,32.54724072931597,14.355895897874372,19.733906816457786,25.43160634990845,13.433481151016442,18.993448931273022,24.529957427313153,0.974,0.0
base,water_coordination,market_federation,88.77691796869856,93.5315064974501,97.86830650158966,69.12381882315681,75.50032004890801,82.03033582921597,78.38724684816258,83.89843343009679,89.0353130586241,77.27407575424341,83.13730998484291,88.55751019295663,80.34179324998698,84.5971588448867,88.55010664040812,14.193952105698543,21.542610623727516,30.023326849009663,8.795166428774134,13.850397571746004,19.469119309832934,6.642529082274235,11.481376755463568,16.930382108814705,0.982,0.0
base,administrative_capture,cct_v08,91.56140707241342,94.77878019057351,97.7699738357287,91.03473057433533,94.76586622522007,98.18750723964901,88.90390588727041,92.52935811130618,95.89037365008498,86.54854860584295,90.53093098730736,94.2404770788509,100.0,100.0,100.0,6.104826105524975,10.54202282289811,15.546133258672166,5.581901579160682,9.763540550573293,14.309015312278941,0.6284721338298389,4.244260084985212,8.431281496183551,1.0,0.0
base,administrative_capture,cct_v01,82.98995281980883,86.44641968671453,89.85285177960962,86.70552837568962,90.51194640371679,94.1102296749667,76.59321944279891,80.87164298154977,84.5503581470968,70.72283410584072,75.33865100888039,80.08520056863986,98.40906543408094,100.0,100.0,22.6956137625892,28.248767073806285,33.87258678290933,19.577478966642776,24.569317604196787,30.25194804380616,2.6793449470716193,6.548907098796447,10.765526730573646,1.0,0.0
base,administrative_capture,central_state,81.23824432394154,84.74600439377889,88.11822391436024,77.48555170952037,82.45276220734372,86.83401774311847,71.91143025981631,76.32474703464337,80.56138019599268,64.19297045745914,69.31767638070907,74.32773665467879,89.17686413310095,93.80603745835239,98.29392692405511,7.149238383770334,11.718330368931593,16.352970074234623,33.066604133000894,38.72175573155259,44.89929320231692,10.581896566998074,15.090920157034382,19.994633127096616,0.987,0.0
base,administrative_capture,market_federation,84.23436730870905,87.98321652610812,91.35891251363618,72.85040768387336,78.01359009263585,82.64365967502107,77.20210658202276,81.44988864622357,85.62775122967531,70.84499317515852,76.00486821097226,80.76721686499604,97.93874090554004,100.0,100.0,5.986476491645016,10.496265610069361,15.45734939163325,23.910702581253844,29.796706641538343,36.15271659310798,6.30237934023205,10.510937052420061,14.973542228271048,0.999,0.0
base,planning_gaming,cct_v08,75.26789901765925,81.17412182034325,86.4902057616926,89.56336725927953,94.43957169622455,98.34553447804655,90.9165625119675,94.48205134950999,97.77759888122523,90.05766423908085,93.91334179891778,97.59300360808464,83.4294387509632,88.14963411124835,92.43645115079184,5.679078981530216,10.730180994452727,17.048448980191996,2.921591915093002,7.678977398995925,13.56783528002466,0.0,2.9433678765271343,6.351293864067895,0.999,0.0
base,planning_gaming,cct_v01,50.10002798358553,57.30427039674896,64.15855802406239,87.6240123265167,92.4830521641133,96.69034544021875,81.91583840521471,86.09586055751586,89.78270283726408,84.3935118516544,88.7087178953143,92.97784979879088,65.78884108962767,71.45693316815489,76.84499584485737,24.431277281464137,30.92578704810372,37.111585186013365,11.425492550280806,18.21765908291318,26.191803951182237,0.9140479049935506,4.482097647005297,7.943776373575668,0.069,0.0
base,planning_gaming,central_state,47.65104468900981,54.484566012880464,61.37788474528876,76.30448730818897,83.02901771766054,88.43365518359187,84.35429942333822,87.90537497500776,91.35931813595448,73.5066326329322,78.2649658712115,83.19866245148413,72.42479842361583,77.70115401256345,82.50077850130212,13.069575298499219,18.852314870875205,25.32072462280831,22.702949966528188,30.71282989680403,38.390881992627186,6.149921513501246,9.82283751012682,13.680038867142258,0.023,0.005
base,planning_gaming,market_federation,60.447399722082736,67.49456863837953,74.17921218206463,62.73964697692865,70.00564427780841,77.7479813551898,82.93490827905454,87.72477196739662,91.98282310816214,80.47015842058134,84.82956200309692,89.12548277475898,78.61101144649497,83.38322092463412,88.29578865111742,6.356921109811778,11.152591585673274,16.61300182200152,14.466316793340768,21.351915337288535,28.619275807693658,3.5910540680129843,6.966092661699037,10.656403501679803,0.559,0.0
base,local_tyranny,cct_v08,95.00230864091124,97.83218515954725,100.0,94.83055110936637,98.10317911742142,100.0,86.45785252154086,91.14508437838312,95.30545870965052,90.23186072692826,93.88822328950162,97.39928956534742,87.7255396171419,92.07943007934125,95.84444776320241,3.357023647515603,7.625892127609278,13.083594908180313,4.003146612709351,7.918131003001099,12.290549593289228,0.0,0.9676201003465611,4.035843802406612,1.0,0.0
base,local_tyranny,cct_v01,91.93510175720505,95.10164211192108,98.1423438932816,94.73831321482945,98.018330453253,100.0,73.46682255897231,79.2920908964093,84.37764793293904,81.4969383942232,85.75013508503176,89.79103245878898,70.90666382973185,75.70405463497293,80.38676294295516,16.988300243796573,22.614443914278155,28.259995780837812,14.196218590768492,19.3146232650779,25.08590226376996,0.0,1.4181147249324662,4.498405750227929,0.999,0.0
base,local_tyranny,central_state,92.77273866716511,95.75128908170731,98.76507514748322,91.2032586739831,94.92655818966668,98.31258880237714,73.16381533331554,78.77285432525042,83.98220025055882,80.56647834745235,84.95677478198131,89.12453660806787,75.81546906258839,80.5451292019528,85.12805449221527,5.766450226787417,10.856449222748857,16.548386797307792,2.8182856748483713,7.113386597816161,12.238612326913227,9.277632588551207,13.973864561046401,19.073298456390262,0.999,0.0
base,local_tyranny,market_federation,91.51827213208679,94.55095974760806,97.64030950221067,85.96161402738063,89.72676851584275,93.61275784792838,70.78405558843028,76.95649780515491,82.31981750908726,79.68170738508499,84.03681443215878,88.45473716098036,83.03870673338845,87.67122932977051,91.89630317811611,1.5258151789224559,5.519160592567724,10.430996911140582,15.750880241205776,21.19132212526055,26.863810550032877,0.0,2.060389457886267,5.303197119369576,0.991,0.0
