critical_ratio,resonance_ratio,gradient_ratio,energy_ratio,radial_ratio,radial_sign_agrees,lambda_critical_sd,lambda_critical_maxwell,cancellation_gap
0.31,0.5,0.0,0.9018801964881639,0.7976734660287339,True,-1.211310735120259,-1.071351201948552,0.13995953317170695
0.31,0.5,0.125,0.9018801964881639,0.8434725669556372,True,-1.1753326103188644,-1.0992156360818068,0.07611697423705754
0.31,0.5,0.25,0.9018801964881639,0.8917176328348546,True,-1.1414300680161475,-1.128568209238026,0.012861858778121515
0.31,0.5,0.375,0.9018801964881639,0.9426099848476336,True,-1.1094285329279427,-1.1595314063717386,0.050102873443795826
0.31,0.5,0.5,0.9018801964881639,0.9963736610810427,True,-1.0791724736651587,-1.192241533532498,0.1130690598673394
0.31,0.5,0.625,0.9018801964881639,1.0532587137361966,True,-1.0505228748711493,-1.2268507239051671,0.17632784903401788
0.31,0.5,0.75,0.9018801964881639,1.1135450977869947,True,-1.023355101600323,-1.263529303692064,0.240174202091741
0.31,0.5,0.875,0.9018801964881639,1.1775472786801213,True,-0.9975570867212346,-1.3024685954639161,0.3049115087426816
0.31,0.5,1.0,0.9018801964881639,1.2456197191239107,True,-0.9730277857433829,-1.3438842563534874,0.3708564706101045
0.31,0.5,1.125,0.9018801964881639,1.318163447064124,True,-0.949675854141943,-1.3880202740494907,0.4383444199075477
0.31,0.5,1.25,0.9018801964881639,1.3956339618463958,True,-0.9274185106779884,-1.4351537769508962,0.5077352662729078
0.31,0.5,1.375,0.9018801964881639,1.4785508078354956,True,-0.9061805568990301,-1.4856008588114775,0.5794203019124474
0.31,0.5,1.5,0.9018801964881639,1.5675092407282554,True,-0.8858935283445688,-1.539723676591112,0.6538301482465432
0.31,0.5,1.625,0.9018801964881639,1.663194540419399,True,-0.8664949572688829,-1.5979391584849594,0.7314442012160765
0.31,0.5,1.75,0.9018801964881639,1.7663996983895789,True,-0.8479277301539349,-1.6607297650311887,0.8128020348772539
0.31,0.5,1.875,0.9018801964881639,1.8780474457879461,True,-0.8301395260925547,-1.7286568911220117,0.898517365029457
0.31,0.5,2.0,0.9018801964881639,1.9992179180109402,True,-0.8130823244101851,-1.8023776972911494,0.9892953728809643
0.31,0.509375,0.0,0.8740399714799801,0.7939412750077719,True,-1.2240806096940768,-1.1119035189285578,0.11217709076551907
0.31,0.509375,0.125,0.8740399714799801,0.840059634243073,True,-1.1840554113228206,-1.1380225026495403,0.04603290867328025
0.31,0.509375,0.25,0.8740399714799801,0.8883967848408334,True,-1.1465648370224877,-1.1653980916886058,0.01883325466611807
0.31,0.509375,0.375,0.8740399714799801,0.9391167952905733,True,-1.1113755156883325,-1.1941232057046047,0.08274769001627225
0.31,0.509375,0.5,0.8740399714799801,0.9924003189260401,True,-1.0782818727610641,-1.224300157129322,0.1460182843682578
0.31,0.509375,0.625,0.8740399714799801,1.0484467438528209,True,-1.0471021113813292,-1.2560418687720327,0.20893975739070347
0.31,0.509375,0.75,0.8740399714799801,1.1074766862170302,True,-1.017674871206079,-1.2894732858741647,0.27179841466808563
0.31,0.509375,0.875,0.8740399714799801,1.1697348925339925,True,-0.9898564352182478,-1.3247330198337721,0.3348765846155243
0.31,0.509375,1.0,0.8740399714799801,1.235493631576323,True,-0.9635183824628759,-1.3619752691903857,0.3984568867275098
0.31,0.509375,1.125,0.8740399714799801,1.3050566749491355,True,-0.9385456058060351,-1.4013720740109212,0.46282646820488615
0.31,0.509375,1.25,0.8740399714799801,1.3787639891025658,True,-0.9148346301642035,-1.4431159731958079,0.5282813430316043
0.31,0.509375,1.375,0.8740399714799801,1.4569972916816232,True,-0.8922921793768169,-1.4874231512997724,0.5951309719229555
0.31,0.509375,1.5,0.8740399714799801,1.5401866638581747,True,-0.870833949865645,-1.5345371834046906,0.6637032335390456
0.31,0.509375,1.625,0.8740399714799801,1.628818460441101,True,-0.8503835570881699,-1.5847335149849107,0.7343499578967407
0.31,0.509375,1.75,0.8740399714799801,1.723444824975664,True,-0.8308716270318349,-1.6383248507530355,0.8074532237212005
0.31,0.509375,1.875,0.8740399714799801,1.8246952030644532,True,-0.8122350099760831,-1.6956676751920312,0.8834326652159481
0.31,0.509375,2.0,0.8740399714799801,1.9332903612437071,True,-0.7944160977459175,-1.757170192100533,0.9627540943546155
0.31,0.51875,0.0,0.8480401775514274,0.7911158852921871,True,-1.2361876348400485,-1.1532091297224338,0.08297850511761462
0.31,0.51875,0.125,0.8480401775514274,0.8374272293035251,True,-1.192275829336781,-1.1773548833616612,0.014920945975119837
0.31,0.51875,0.25,0.8480401775514274,0.8857193696578964,True,-1.151376675197598,-1.2025333822500148,0.05115670705241682
0.31,0.51875,0.375,0.8480401775514274,0.9361221653227122,True,-1.1131904220363211,-1.228812332101978,0.11562191006565681
0.31,0.51875,0.5,0.8480401775514274,0.9887770800923619,True,-1.0774558087096997,-1.2562654891429657,0.17880968043326595
0.31,0.51875,0.625,0.8480401775514274,1.043838508541116,True,-1.0439440777301408,-1.284973351433079,0.24102927370293825
0.31,0.51875,0.75,0.8480401775514274,1.1014752880297334,True,-1.0124540729903249,-1.315023947195316,0.30256987420499115
0.31,0.51875,0.875,0.8480401775514274,1.1618724279526846,True,-0.9828081987549769,-1.3465137364084405,0.3637055376534636
0.31,0.51875,1.0,0.8480401775514274,1.2252330935339468,True,-0.9548490684092489,-1.3795486451160797,0.4246995767068308
0.31,0.51875,1.125,0.8480401775514274,1.2917808889858844,True,-0.928436709406803,-1.414245255817397,0.485808546410594
0.31,0.51875,1.25,0.8480401775514274,1.3617624940953006,True,-0.903446219620014,-1.4507321821272006,0.5472859625071865
0.31,0.51875,1.375,0.8480401775514274,1.4354507197548994,True,-0.8797657922696897,-1.4891516618653156,0.6093858695956259
0.31,0.51875,1.5,0.8480401775514274,1.5131480622168576,True,-0.8572950435351754,-1.5296614101690964,0.672366366633921
