protocol,mode,essential_unmet_p10,essential_unmet_median,essential_unmet_p90,low_income_unmet_p10,low_income_unmet_median,low_income_unmet_p90,overall_unmet_p10,overall_unmet_median,overall_unmet_p90,eco_overshoot_p10,eco_overshoot_median,eco_overshoot_p90,imported_harm_p10,imported_harm_median,imported_harm_p90,rent_p10,rent_median,rent_p90,admin_hours_p10,admin_hours_median,admin_hours_p90,gaming_capture_p10,gaming_capture_median,gaming_capture_p90,recovery_weeks_p10,recovery_weeks_median,recovery_weeks_p90
base,corridor,1.622220491319898,1.928556484973074,2.261335216987504,2.521966207092696,2.998475404043479,3.4589019534085717,7.3211058567486,8.1429287343361,8.949345356982915,0.4384615384615343,0.48461538461538,0.5307692307692263,0.19151344330048464,0.34283311731453137,0.5249352139493595,5.886647188387945,6.01323596109306,6.138391055810184,18.09770561234438,18.09770561234438,18.09770561234438,0.2586110241933174,0.32769365743265627,0.4054086836123462,0.0,0.0,0.0
base,annual_plan,3.2716919583623203,4.327165421084194,5.856628464153993,3.3118645139814937,5.156769866602738,7.260053951886131,8.070142158813258,9.038976808005728,10.126826409103803,0.7816672178300046,0.880491453715472,0.9809410685638099,0.22453943650968858,0.3862082535629562,0.5701754744080489,3.5204791521140506,3.596094508851354,3.6694188777769874,10.712679057663022,10.712679057663022,10.712679057663022,0.5250200536075736,0.7090454559104798,1.0053497756851164,0.0,0.0,0.0
base,eco_market,4.908058919443174,5.7374905839656005,6.5712297703019,6.571145678650551,7.821577959639507,9.064855304599728,3.5910136683574168,4.226116727394002,4.87431551705314,4.5495089742740005,5.052478276714037,5.532629849450705,2.3793338125728365,3.025261930992913,3.7181820573887805,24.536332456844182,24.977238481362612,25.420223459241313,9.196775447778318,9.19677544777832,9.19677544777832,0.6563796263617339,0.78526199805421,0.9156352294462031,0.0,0.0,0.0
supply_break,corridor,3.0105839175195666,3.7789377882819153,4.655712802552355,4.372195382231925,5.261741281793479,6.16791711631948,10.549683245556674,11.939768037071671,13.394795907276109,0.37205571510123064,0.42562775147365667,0.4797884331951018,1.6126688856736413,2.3921272830265967,3.2478744293550315,6.15536142837688,6.325838550946131,6.50876280570453,18.09770561234438,18.09770561234438,18.09770561234438,0.2167923207553217,0.2900825545835862,0.3781747143674906,4.0,8.0,10.0
supply_break,annual_plan,6.23469812503922,8.081098115743234,10.252582779958743,6.449079019727803,8.940297290237611,11.863666974889764,12.127287434383312,13.834431322169502,15.58670789068661,0.6849578964674826,0.7954175835865103,0.9057958473394507,1.0711260518932308,1.535658011192815,2.0209286118662555,3.712682654100182,3.8242126942367474,3.942606808015711,10.712679057663022,10.712679057663022,10.712679057663022,0.49513972322889427,0.7203811899745126,1.0282407833961615,4.0,7.0,10.0
supply_break,eco_market,7.565071725798582,8.733081174456164,9.965740252880959,10.670537629516776,12.47678491272538,14.368339543133082,5.679676150104705,6.6193214694487725,7.587670139238844,4.017161386528061,4.666361241019838,5.310566704933892,5.927434845540393,7.599069580008129,9.28741015780672,25.237970283529403,25.791665803219026,26.404563516558106,9.196775447778318,9.19677544777832,9.19677544777832,0.744522014072896,0.8766450203369349,1.0188633218265986,4.0,7.0,9.0
high_volatility,corridor,2.583056095910931,3.5184341077701067,4.581024413978422,3.7666608982322254,4.931374705201039,6.1676173466702915,8.949721635676234,11.002867355845975,12.98757075381808,0.2999999999999966,0.3625756045666566,0.415384615384612,0.6087115729799585,1.1236884035612813,1.7651942414518214,5.928459677159909,6.266884029878257,6.610726249280841,18.09770561234438,18.09770561234438,18.09770561234438,0.3592009483225927,0.4926743265371285,0.6458874579913717,0.0,0.0,9.0
high_volatility,annual_plan,8.17875261324042,11.479214626160577,16.355238541155565,7.463837974572134,12.254101585288929,18.406387749301082,14.36721373922632,16.40119883098715,19.019990516910354,0.5538461538461547,0.6846811083314368,0.7988027737031269,0.4665637690372797,0.7897808776345064,1.1633245545109703,3.5666912947274287,3.7714720601064897,3.9771158560550797,10.712679057663022,10.712679057663022,10.712679057663022,1.7640724612611656,2.4079926451537075,3.552048468918528,0.0,0.0,8.0
high_volatility,eco_market,7.411060921047735,9.479065665625509,11.67590354467405,10.557479128446694,13.63835421643454,16.944517925928277,5.580827521284597,7.1934610084616875,8.929666833921459,3.552043075160522,4.405328230867728,5.221354193154902,3.177383284394896,4.404251813465148,5.697696794809448,24.720994045864547,26.010777031843013,27.344958044971175,9.196775447778318,9.19677544777832,9.19677544777832,0.8959953707025864,1.0438758814654032,1.1999174078008412,0.0,0.0,7.0
coordinated_gaming,corridor,1.7412963540807143,2.1027020569272037,2.507230327930307,3.7025277619273558,4.312383294130719,4.923228573451914,9.180641405599292,10.105984619411132,11.091807321250085,0.411715069977971,0.46153846153845635,0.5076923076923023,0.40373907241949536,0.7334676999401211,1.190960497034308,5.925591007689681,6.07838384748249,6.2324391569214885,18.09770561234438,18.09770561234438,18.09770561234438,0.7314794319478234,0.8723600468763802,1.0585812841025237,0.0,0.0,0.0
coordinated_gaming,annual_plan,3.79812757798616,5.032453405499721,6.7473113336352775,4.588018470112197,6.8406045829000846,9.344041865955766,9.326220839614175,10.620773707486247,12.13405787085685,0.7441570569921787,0.8496925548368475,0.9427086849324497,0.3545183097908987,0.5795097373969196,0.8611070810956987,3.5546358830774305,3.64843905596238,3.7414640380456268,10.712679057663022,10.712679057663022,10.712679057663022,0.6970135653430424,0.9944589880832061,1.4152244888580618,0.0,0.0,7.0
coordinated_gaming,eco_market,9.22465379383171,10.325706586188328,11.495030297198708,13.027002141887962,14.729667617530094,16.54178615596791,6.780367810964971,7.6429611404381586,8.565888763856918,4.56861370549392,5.145437871918002,5.679086781909078,2.9251097761615963,3.76146263014202,4.6633397890748185,24.788342171760252,25.31866445441095,25.867911084260776,9.196775447778318,9.19677544777832,9.19677544777832,3.3064862520707474,3.479169280292097,3.656273675943585,0.0,0.0,8.0
dirty_imports,corridor,2.548762991386526,3.2089694559238247,3.8870640181556384,3.942124960829471,4.767385148213197,5.559003135580069,9.812516894540837,11.184523721978753,12.53772824754127,0.4387993235205237,0.536654224938709,0.6663945763577767,2.048480916177874,3.1349200171175085,4.401545719158165,6.0660544221863635,6.261528023863672,6.45304296611527,18.09770561234438,18.09770561234438,18.09770561234438,0.26604754709455575,0.363703271323768,0.4734038831491212,0.0,7.0,11.0
dirty_imports,annual_plan,5.871904750424947,7.706628329716159,10.072754715168179,5.8965304466900905,8.687802891901548,11.873215099015589,11.737321538672369,13.35290786150063,15.067940759984644,0.7864882799268874,0.9367222936559931,1.093041553633411,1.4099096747891187,2.060321987068919,2.7833152471838787,3.6576309405045127,3.778099990588551,3.8979853328998484,10.712679057663022,10.712679057663022,10.712679057663022,0.6724021179851106,0.9409250378804772,1.3529244516535661,0.0,7.0,10.0
dirty_imports,eco_market,7.297999779993398,8.568583055782993,9.827061094210164,10.287114003066819,12.190432907482386,14.158388795447342,5.448282763093127,6.443595105203398,7.453553584602439,6.796563597420797,7.939882023226842,9.192673197086593,8.279370514082828,10.660489884298869,13.221088119453835,25.038963929755813,25.69908223027655,26.38572265361179,9.196775447778318,9.19677544777832,9.19677544777832,0.9022191450767718,1.0390608818780622,1.185053907347878,0.0,5.0,9.0
