critical_ratio,resonance_ratio,second_moment,thermal_speed_sq,slope_ratio
0.31,0.5,0.35002527585534743,0.23335018390356496,0.9018801964881638
0.31,0.509375,0.35002527585534743,0.23335018390356496,0.8740399714799799
0.31,0.51875,0.35002527585534743,0.23335018390356496,0.8480401775514272
0.31,0.528125,0.35002527585534743,0.23335018390356496,0.8237928853458055
0.31,0.5375,0.35002527585534743,0.23335018390356496,0.8012132377095574
0.31,0.546875,0.35002527585534743,0.23335018390356496,0.7802199369679487
0.31,0.55625,0.35002527585534743,0.23335018390356496,0.7607355881445608
0.31,0.565625,0.35002527585534743,0.23335018390356496,0.7426869258296634
0.31,0.575,0.35002527585534743,0.23335018390356496,0.7260049481886147
0.31,0.584375,0.35002527585534743,0.23335018390356496,0.7106249778774675
0.31,0.59375,0.35002527585534743,0.23335018390356496,0.696486666382839
0.31,0.603125,0.35002527585534743,0.23335018390356496,0.6835339554965232
0.31,0.6125,0.35002527585534743,0.23335018390356496,0.6717150072341354
0.31,0.621875,0.35002527585534743,0.23335018390356496,0.660982111469692
0.31,0.6312500000000001,0.35002527585534743,0.23335018390356496,0.6512915788423815
0.31,0.640625,0.35002527585534743,0.23335018390356496,0.6426036250574121
0.31,0.65,0.35002527585534743,0.23335018390356496,0.6348822515119305
0.32375,0.5,0.3572811066872316,0.23818740445815442,0.9136638286604375
0.32375,0.509375,0.3572811066872316,0.23818740445815442,0.8867745537790083
0.32375,0.51875,0.3572811066872316,0.23818740445815442,0.8615591849038718
0.32375,0.528125,0.3572811066872316,0.23818740445815442,0.8379507922345479
0.32375,0.5375,0.3572811066872316,0.23818740445815442,0.8158830971489067
0.32375,0.546875,0.3572811066872316,0.23818740445815442,0.7952911901935756
0.32375,0.55625,0.3572811066872316,0.23818740445815442,0.7761120924819572
0.32375,0.565625,0.3572811066872316,0.23818740445815442,0.7582851861004047
0.32375,0.575,0.3572811066872316,0.23818740445815442,0.7417525359217325
0.32375,0.584375,0.3572811066872316,0.23818740445815442,0.7264591222471217
0.32375,0.59375,0.3572811066872316,0.23818740445815442,0.7123530009815113
0.32375,0.603125,0.3572811066872316,0.23818740445815442,0.6993854056096501
0.32375,0.6125,0.3572811066872316,0.23818740445815442,0.687510803080138
0.32375,0.621875,0.3572811066872316,0.23818740445815442,0.6766869138123481
0.32375,0.6312500000000001,0.3572811066872316,0.23818740445815442,0.6668747043987865
0.32375,0.640625,0.3572811066872316,0.23818740445815442,0.6580383601622589
0.32375,0.65,0.3572811066872316,0.23818740445815442,0.6501452435206412
0.3375,0.5,0.36436066882900464,0.24290711255266975,0.9215388924926088
0.3375,0.509375,0.36436066882900464,0.24290711255266975,0.895858714580899
0.3375,0.51875,0.36436066882900464,0.24290711255266975,0.8716736434812484
0.3375,0.528125,0.36436066882900464,0.24290711255266975,0.848937303517728
0.3375,0.5375,0.36436066882900464,0.24290711255266975,0.8276018562775898
0.3375,0.546875,0.36436066882900464,0.24290711255266975,0.8076188793252129
0.3375,0.55625,0.36436066882900464,0.24290711255266975,0.7889400882212543
0.3375,0.565625,0.36436066882900464,0.24290711255266975,0.7715179235808826
0.3375,0.575,0.36436066882900464,0.24290711255266975,0.7553060228689678
0.3375,0.584375,0.36436066882900464,0.24290711255266975,0.7402595945683949
0.3375,0.59375,0.36436066882900464,0.24290711255266975,0.7263357103499556
0.3375,0.603125,0.36436066882900464,0.24290711255266975,0.7134935289714763
0.3375,0.6125,0.36436066882900464,0.24290711255266975,0.7016944638724067
0.3375,0.621875,0.36436066882900464,0.24290711255266975,0.6909023048252714
0.3375,0.6312500000000001,0.36436066882900464,0.24290711255266975,0.6810833025633801
0.3375,0.640625,0.36436066882900464,0.24290711255266975,0.6722062240234923
0.3375,0.65,0.36436066882900464,0.24290711255266975,0.6642423847161093
0.35125,0.5,0.3712670673432823,0.24751137822885486,0.9255549281730685
0.35125,0.509375,0.3712670673432823,0.24751137822885486,0.9013096956618719
0.35125,0.51875,0.3712670673432823,0.24751137822885486,0.8783737235123739
0.35125,0.528125,0.3712670673432823,0.24751137822885486,0.8567200795858191
0.35125,0.5375,0.3712670673432823,0.24751137822885486,0.8363186228742302
0.35125,0.546875,0.3712670673432823,0.24751137822885486,0.8171369727007424
0.35125,0.55625,0.3712670673432823,0.24751137822885486,0.7991413317279287
0.35125,0.565625,0.3712670673432823,0.24751137822885486,0.7822971795081881
0.35125,0.575,0.3712670673432823,0.24751137822885486,0.7665698524402911
0.35125,0.584375,0.3712670673432823,0.24751137822885486,0.7519250248980714
0.35125,0.59375,0.3712670673432823,0.24751137822885486,0.7383291050737553
0.35125,0.603125,0.3712670673432823,0.24751137822885486,0.7257495578063828
0.35125,0.6125,0.3712670673432823,0.24751137822885486,0.7141551654008714
0.35125,0.621875,0.3712670673432823,0.24751137822885486,0.703516236224204
0.35125,0.6312500000000001,0.3712670673432823,0.24751137822885486,0.693804769717609
0.35125,0.640625,0.3712670673432823,0.24751137822885486,0.6849945854027978
0.35125,0.65,0.3712670673432823,0.24751137822885486,0.6770614224943252
0.365,0.5,0.37800317057183436,0.2520021137145562,0.9258255956594671
0.365,0.509375,0.37800317057183436,0.2520021137145562,0.9032049172519563
0.365,0.51875,0.37800317057183436,0.2520021137145562,0.8817057005396447
0.365,0.528125,0.37800317057183436,0.2520021137145562,0.8613187949971245
0.365,0.5375,0.37800317057183436,0.2520021137145562,0.8420304954503932
0.365,0.546875,0.37800317057183436,0.2520021137145562,0.8238235363920364
0.365,0.55625,0.37800317057183436,0.2520021137145562,0.806677958713436
0.365,0.565625,0.37800317057183436,0.2520021137145562,0.7905718601065568
0.365,0.575,0.37800317057183436,0.2520021137145562,0.7754820405570141
0.365,0.584375,0.37800317057183436,0.2520021137145562,0.7613845541525285
0.365,0.59375,0.37800317057183436,0.2520021137145562,0.7482551779745354
0.365,0.603125,0.37800317057183436,0.2520021137145562,0.7360698082122377
0.365,0.6125,0.37800317057183436,0.2520021137145562,0.7248047929056564
0.365,0.621875,0.37800317057183436,0.2520021137145562,0.714437209939301
0.365,0.6312500000000001,0.37800317057183436,0.2520021137145562,0.7049450981097001
0.365,0.640625,0.37800317057183436,0.2520021137145562,0.696307648306297
0.365,0.65,0.37800317057183436,0.2520021137145562,0.6885053610956197
0.37875000000000003,0.5,0.3845716673467374,0.2563811115644916,0.9225213227909945
0.37875000000000003,0.509375,0.3845716673467374,0.2563811115644916,0.9016762406446832
0.37875000000000003,0.51875,0.3845716673467374,0.2563811115644916,0.8817675994092042
